SMILES,single-class-label
CN1C[C@@H](c2ccc(Cl)cc2)[C@@]2(CSc3ccccc3C2=O)C12C(=O)c1ccccc1C2=O,0
Cc1cccc(CN2CCC(CC(=O)NCCc3c[nH]c4ccccc34)CC2)c1,0
O=C(/C=C/c1ccc(O)c(O)c1)NCCC1CCN(Cc2ccccc2)CC1,0
C#CCNCCc1cccc(OC(=O)N(C)CCC)c1,0
COc1ccc(CNC(=O)C2CCN(C(=O)c3ccccc3)CC2)cc1OC,1
O=[N+]([O-])c1ccc2c(c1)c(OCc1ccccc1)nn2Cc1ccccc1,0
Cc1cccc2nc3c(c(N)c12)CCCC3,1
CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCC1CCN(Cc2ccc(Cl)cc2)CC1,0
COc1ccc(NC(=O)c2coc3ccc(/C=C/C(=O)O)cc3c2=O)cc1,0
CCN(CC)CCCOc1ccc2nc3n(c(=O)c2c1)CCCCC3,0
c1ccc2c(COc3nn(CCN4CCCCC4)c4ccccc34)cccc2c1,0
O=C(CCC1CCN(Cc2cccc(F)c2)CC1)c1cc2c3c(ccn3C(=O)CC2)c1,1
O=C(CCCCC1CCSS1)NCCCCNc1c2c(nc3ccccc13)CCCC2,1
O=C1CCN(Cc2ccccc2)C/C1=C\c1cc[nH]c1,0
CCn1c2ccccc2c2cc(/C=C/c3ccc4ccccc4[n+]3C)ccc21,1
C=C(C)C[N+](C)(C)c1cccc(OC)c1,0
O=C(/C=C/c1ccc(F)cc1)NCCC1CCN(Cc2ccccc2)CC1,0
COc1ccc2cc3[n+](cc2c1OCc1ccccc1C)CCc1cc2c(cc1-3)OCO2,0
CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,0
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3cc(N)c4ccccc4n3)CC1)C2,1
COc1ccc2nc3c(c(NCCNC(=O)[C@@H](N)Cc4c[nH]c5ccccc45)c2c1)CCCC3,0
O=C(Nc1ccccc1)OCC1CCN(Cc2ccccc2)CC1,0
Fc1ccc(/C=N/C2CCN(Cc3ccccc3)CC2)c(F)c1,0
Oc1ccccc1-c1nnc(N2CCN(c3ccccn3)CC2)o1,0
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,1
c1cc[n+](CCCCCCCCCC[n+]2cccc3ccccc32)cc1,1
O=C1Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1,1
COc1cc2c(cc1OC)CN(CC1CCN(Cc3cc(F)cc(/C=N/O)c3O)CC1)CC2,0
COc1ccc(NCc2ccc(Oc3c(N)cccc3Cl)cc2)cc1,0
c1ccc(CNc2ccnc(N3CCCC3)n2)cc1,0
CCCCCCOC[n+]1ccn(C)c1/C=N/O,0
O=c1c2ccccc2[se]n1-c1ccc(CCN2CCCC2)cc1,0
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,0
Oc1cc(O)cc(/C=C/c2ccc(Nc3c4c(nc5cc(Cl)ccc35)CCCC4)cc2)c1,0
C/C=C1\[C@H]2C=C(C)C[C@]1(/N=C/c1ccc(O)c(OC)c1)c1ccc(=O)[nH]c1C2,1
O=C(NCCCCCc1ccccc1)Oc1ccc(-n2cc(COc3ccc4ccc(=O)oc4c3)nn2)cc1,0
